"","x"
"1",0.227212706037973
"2",0.212314036600587
"3",0.219480082068973
"4",0.285331903975723
"5",0.293962509603641
"6",0.316788680268532
"7",0.332820077074872
"8",0.341772526430759
"9",0.295529593539443
"10",0.265697732295026
"11",0.275643119014787
"12",0.221403020546943
"13",0.189146716302212
"14",0.205606758195406
"15",0.270867629244283
"16",0.240179042736614
"17",0.283281577414877
"18",0.274033868285508
"19",0.280338665223968
"20",0.288170557549052
"21",0.299453899186002
"22",0.247131569999365
"23",0.246093565190996
"24",0.192186025919965
"25",0.225859982314464
"26",0.225954460372673
"27",0.249316390778168
"28",0.298345812729579
"29",0.299146664231747
"30",0.320435657789259
"31",0.32800221209531
"32",0.30793941169933
"33",0.278272097399655
"34",0.273747215270403
"35",0.258802016534935
"36",0.256934284361249
"37",0.224902230165647
"38",0.230365157744509
"39",0.278365657675989
"40",0.262181436106474
"41",0.304496183406549
"42",0.304777846086376
"43",0.32730056779138
"44",0.289440546198728
"45",0.289803712603149
"46",0.271263658261888
"47",0.269821580648923
"48",0.229351180355639
"49",0.265337652724545
"50",0.259893465631648
"51",0.269559491998397
"52",0.317447663540482
"53",0.321482738226447
"54",0.367699684787147
"55",0.35916596929492
"56",0.34359075398332
"57",0.337102974637877
"58",0.30658034560976
"59",0.29223723026534
"60",0.261756604295165
"61",0.197585079423446
"62",0.241218807250347
"63",0.266148262109229
"64",0.262148198474627
"65",0.282777947410447
"66",0.310530216262467
"67",0.315474536351877
"68",0.324839532110101
"69",0.303814097120525
"70",0.296064520864025
"71",0.283720090990695
"72",0.240078591282886
"73",0.234514224115485
"74",0.245219579317985
"75",0.252361009024131
"76",0.27879038872556
"77",0.301806014729289
"78",0.324447826960196
"79",0.328636333207464
"80",0.316531050044247
"81",0.305065777966186
"82",0.278774054427806
"83",0.272189380514046
"84",0.24295818475322
"85",0.217497064067003
"86",0.229879941901106
"87",0.239458772603997
"88",0.27680292183123
"89",0.310083758690191
"90",0.323309988045802
"91",0.322514750858546
"92",0.311857320053872
"93",0.301684705410829
"94",0.273633654352267
"95",0.218784791250844
"96",0.24155357752592
"97",0.231180069560201
"98",0.264172835936984
"99",0.295578545511329
"100",0.262767256972876
"101",0.315388194383788
"102",0.324511604356826
"103",0.320175939309812
"104",0.332946998626373
"105",0.318002613129943
"106",0.282493647368591
"107",0.25676144823325
"108",0.227486605225578
"109",0.235545802810926
"110",0.248165311026093
"111",0.264596473100692
"112",0.307025334741245
"113",0.309908484645875
"114",0.361880824411213
"115",0.330183925590285
"116",0.3570080023342
"117",0.317572028594665
"118",0.274789074886397
"119",0.279465676922073
"120",0.253964505139447
"121",0.245165165219102
"122",0.270760997883609
"123",0.281591468786356
"124",0.312247422997564
"125",0.301401407400302
"126",0.325265009020877
"127",0.32378213732755
"128",0.284782136686129
"129",0.322736061484909
"130",0.31475321669709
"131",0.282674735152249
"132",0.233294185980812
"133",0.245161704828444
"134",0.235729785714079
"135",0.3013566815163
"136",0.298237858095475
"137",0.310336563136049
"138",0.356820668280307
"139",0.344213149700982
"140",0.317347403874688
"141",0.324977610758084
"142",0.30300672014339
"143",0.282446330924404
"144",0.269726691247067
"145",0.245050323167587
"146",0.271542422134362
"147",0.257914051350909
"148",0.321902448685161
"149",0.312595677839683
"150",0.345938208748541
"151",0.3546037867232
"152",0.333473966683644
"153",0.295508890011116
"154",0.293282938331517
"155",0.26654317469057
"156",0.25292025231775
"157",0.249811484771163
"158",0.253060251861909
"159",0.26213323537466
"160",0.269087456326476
"161",0.345723925256866
"162",0.292932589513176
"163",0.299119307952858
"164",0.324641065664903
"165",0.346845824265569
"166",0.274221224596214
"167",0.236262137679587
"168",0.232988985523393
"169",0.299251402804847
"170",0.250968090208104
"171",0.271639022684768
"172",0.297931669149868
"173",0.336959740911506
"174",0.352026631603236
"175",0.339566828672736
"176",0.309304464392887
"177",0.354706629471602
"178",0.28083248772504
"179",0.27043905479339
"180",0.265196227679362
"181",0.211822163935636
"182",0.190891352531471
"183",0.232265163164157
"184",0.264052998562012
"185",0.279760707432471
"186",0.302567723102548
"187",0.279792079140466
"188",0.285908526988228
"189",0.289154083590705
"190",0.256923606342253
"191",0.232171165945719
"192",0.226339372343888
"193",0.233473600159446
"194",0.256888941450673
"195",0.249685453672609
"196",0.281164786085326
"197",0.31040587986196
"198",0.333520175735666
"199",0.286731803535106
"200",0.342412486839217
"201",0.314017204693728
"202",0.306362989051895
"203",0.279550074842412
"204",0.255363658071845
"205",0.223244091449766
"206",0.236910418099387
"207",0.241546436558312
"208",0.275565169558545
"209",0.293400126177765
"210",0.317579116133158
"211",0.298659964615505
"212",0.297064522518005
"213",0.293316330314523
"214",0.245863117830584
"215",0.234869336163036
"216",0.22917935147545
"217",0.276677185490944
"218",0.266580162438706
"219",0.248136919199428
"220",0.261825907913224
"221",0.29789759068792
"222",0.313828543886224
"223",0.326123195154504
"224",0.336742959690924
"225",0.330594595896471
"226",0.293106583606593
"227",0.274325570886133
"228",0.220647197899595
"229",0.226906407842931
"230",0.238305790151016
"231",0.227567789557724
"232",0.255054489008723
"233",0.282059675743371
"234",0.294301624020394
"235",0.312620215900701
"236",0.291615486139112
"237",0.277593220814557
"238",0.250202663330668
"239",0.251898328059595
"240",0.202489960051144
"241",0.257436638637535
"242",0.252913791552927
"243",0.264062670485561
"244",0.290844018434739
"245",0.350392046042614
"246",0.334038300976522
"247",0.353845848817421
"248",0.336875542233909
"249",0.306992217169938
"250",0.263421224065885
"251",0.283220971033505
"252",0.251783595682686
"253",0.227849161257552
"254",0.233424413461282
"255",0.239136074154879
"256",0.259974200456756
"257",0.276189870205506
"258",0.264767529601079
"259",0.283882042544352
"260",0.332163231814885
"261",0.248200674339362
"262",0.270357657002682
"263",0.250380265529455
"264",0.207384486136063
"265",0.204324928043094
"266",0.185147145623205
"267",0.21065140176159
"268",0.25501297210038
"269",0.247662358396484
"270",0.268875864616677
"271",0.298118251059923
"272",0.269553546820534
"273",0.247105959571038
"274",0.249790191899759
"275",0.201412713494328
"276",0.214405816405536
"277",0.203301482295851
"278",0.223507026635197
"279",0.18671739068227
"280",0.229943925154067
"281",0.329103160210249
"282",0.305549611828836
"283",0.316383109451557
"284",0.29575145958345
"285",0.274243613933607
"286",0.208016699874172
"287",0.230852754918656
"288",0.203972736607093
"289",0.207884334096823
"290",0.1846308068193
"291",0.230384635527962
"292",0.242085150484161
"293",0.264474704970041
"294",0.256867305269159
"295",0.243731999626182
"296",0.275723277852579
"297",0.259155293367455
"298",0.204025479505054
"299",0.204808677744901
"300",0.183840009220561
"301",0.214467721517395
"302",0.20818263323343
"303",0.230877259145012
"304",0.238758165080145
"305",0.297303359635793
"306",0.28923147371786
"307",0.292149782380135
"308",0.307734435527678
"309",0.278205989389609
"310",0.249728823556266
"311",0.256213164087328
"312",0.233677831795078
"313",0.219146468712547
"314",0.235140022818696
"315",0.276896699569737
"316",0.256269498560851
"317",0.287462039028278
"318",0.302991250699283
"319",0.30938073492988
"320",0.300758425605753
"321",0.302664591976029
"322",0.305648901079707
"323",0.242422894150162
